,$\alpha{-}cells$,$\beta{-}cells$,$\delta{-}cells$,Acinar cells,Ductal cells,PP cells,Stellate cells
CPI-CS01A4D7E2F$\beta{-}cells$,1,1,1,1,1,1,1
CPI-CS0BEC40E19$\beta{-}cells$,1,1,1,1,1,1,1
CPI-CS0D238C22B$\beta{-}cells$,1,1,0,0,0,1,1
CPI-SS02FBD007E$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS079728E8B$\beta{-}cells$,1,1,0,1,1,1,1
CPI-SS034D36D2F$\beta{-}cells$,1,0,0,1,1,0,1
CPI-SS0C23EF34B$\beta{-}cells$,1,0,1,0,1,1,0
CPI-CS0AB19226A$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS0528A694B$\beta{-}cells$,1,1,1,0,1,1,1
CPI-CS0E5D1ECCE$\beta{-}cells$,1,0,0,1,1,1,1
CPI-SS070C51D94$\beta{-}cells$,1,1,1,1,1,0,1
CPI-SS0D2539AEB$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS043E0F61D$\delta{-}cells$,1,0,0,0,0,0,0
CPI-SS0AB647854$\delta{-}cells$,1,1,0,0,1,0,0
CPI-SS00C069DCB$\delta{-}cells$,1,1,1,0,0,1,0
CPI-SS0BF490275$\delta{-}cells$,1,0,0,0,0,1,1
CPI-CS0AA769F5B$\delta{-}cells$,1,1,0,0,0,1,0
CPI-SS072E1E27A$\delta{-}cells$,1,1,1,0,0,0,0
CPI-SS01A07768A$\delta{-}cells$,1,0,0,0,0,0,0
CPI-SS0AFC7BACF$\delta{-}cells$,1,0,0,0,0,1,0
CPI-SS00561BBD7$\delta{-}cells$,1,0,0,0,0,1,0
CPI-SS038E93B77$\delta{-}cells$,1,0,0,0,0,1,0
CPI-SS07DFEBFA8$\delta{-}cells$,1,1,0,0,0,1,0
CPI-SS01158CABF$\delta{-}cells$,1,1,1,0,0,0,0
CPI-CS063AE1C91$\delta{-}cells$,1,0,0,0,0,0,0
CPI-SS0BEAB521F$\delta{-}cells$,1,1,1,0,1,1,1
CPI-SS0586F2596$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0F1A060D4$\delta{-}cells$,1,1,1,0,1,1,0
CPI-SS03A2EFDD5$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0C5E9FBFB$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0241A1F57$\delta{-}cells$,1,0,0,0,1,0,1
CPI-SS07833475A$\delta{-}cells$,1,0,0,0,0,1,1
CPI-SS074CF011C$\delta{-}cells$,1,0,1,0,1,0,0
CPI-SS08083B141$\delta{-}cells$,1,0,1,0,1,1,1
CPI-CS0FCC00896$\delta{-}cells$,1,1,1,1,1,1,1
CPI-CS0CA393CC5$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS00D153A8A$\delta{-}cells$,1,1,1,0,1,1,1
CPI-SS082900482$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0E0BCE16F$\delta{-}cells$,1,0,0,0,0,1,1
CPI-CS0288D901D$\delta{-}cells$,1,1,0,0,1,1,0
CPI-CS0C99F8D96$\delta{-}cells$,1,1,0,0,1,1,0
CPI-SS070B0E458$\delta{-}cells$,1,1,1,1,1,1,1
CPI-CS0E1BF543E$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS055E061C9$\delta{-}cells$,1,1,0,0,1,1,0
CPI-CS0EC80CA59$\delta{-}cells$,1,1,1,1,1,1,1
CPI-CS046BCFC6F$\delta{-}cells$,1,1,1,1,1,1,1
CPI-CS047EE9E03$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS042EB8C7A$\delta{-}cells$,1,0,1,0,1,1,1
CPI-SC0E9C058EB$\delta{-}cells$,1,0,0,1,1,1,1
CPI-SS0EDAE16B6$\delta{-}cells$,1,0,0,0,0,1,0
CPI-SS0E91E504D$\delta{-}cells$,1,0,0,1,1,0,1
CPI-CS02C93975C$\delta{-}cells$,1,1,1,1,1,1,1
CPI-CS01A4D7E2F$\delta{-}cells$,1,1,1,1,1,1,1
CPI-CS0BEC40E19$\delta{-}cells$,1,1,1,1,1,1,1
CPI-CS0D238C22B$\delta{-}cells$,1,1,1,0,0,1,1
CPI-SS02FBD007E$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS079728E8B$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0F00D756A$\delta{-}cells$,1,0,1,0,1,0,1
CPI-SS09808DEAE$\delta{-}cells$,1,0,1,1,1,0,1
CPI-SS034D36D2F$\delta{-}cells$,1,0,0,1,1,0,1
CPI-SS0C23EF34B$\delta{-}cells$,1,0,1,0,1,1,0
CPI-CS0AB19226A$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0528A694B$\delta{-}cells$,1,1,1,0,1,1,1
CPI-CS0E5D1ECCE$\delta{-}cells$,1,0,0,1,1,1,1
CPI-SS070C51D94$\delta{-}cells$,1,1,1,1,1,1,1
CPI-CS05426BFFA$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS05B1FA8A8$\delta{-}cells$,1,1,1,1,0,1,1
CPI-SS0D2539AEB$\delta{-}cells$,1,1,1,1,1,1,1
CPI-CS0AB9C7139$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0C1F25516Acinar cells,1,0,0,0,1,0,0
CPI-SS0AB0604B5Acinar cells,1,1,1,0,0,0,1
CPI-SS043E0F61DAcinar cells,1,0,0,0,0,0,0
CPI-SS01A8F745AAcinar cells,1,1,1,1,1,1,0
CPI-CS0C9EE65C2Acinar cells,1,1,1,1,1,1,1
CPI-SS072E1E27AAcinar cells,1,1,1,0,0,0,0
CPI-SS01A07768AAcinar cells,1,0,0,0,1,0,0
CPI-SS064C772FEAcinar cells,1,1,1,0,1,1,1
CPI-CS0DEBE7B69Acinar cells,1,1,1,1,1,1,1
CPI-SS0AFC7BACFAcinar cells,1,0,0,0,0,1,0
CPI-SS00561BBD7Acinar cells,1,0,0,0,0,1,0
CPI-SS01158CABFAcinar cells,1,1,1,0,0,0,0
CPI-CS063AE1C91Acinar cells,1,0,0,0,0,1,0
CPI-SS091B461CBAcinar cells,1,1,1,1,1,1,1
CPI-SS03165AD8CAcinar cells,1,1,1,1,1,1,1
CPI-SS0F1A060D4Acinar cells,1,0,0,0,0,1,0
CPI-SS00046DCF3Acinar cells,1,1,1,0,1,1,1
CPI-SS0EB3C2743Acinar cells,1,1,1,0,1,1,1
CPI-SS0C5E9FBFBAcinar cells,1,1,0,0,0,1,0
CPI-SS0241A1F57Acinar cells,1,0,0,0,1,1,1
CPI-SS07833475AAcinar cells,1,0,0,0,0,1,0
CPI-SS074CF011CAcinar cells,1,1,1,1,1,1,1
CPI-SS06BC4D123Acinar cells,1,0,0,1,1,0,0
CPI-SS0111AAD26Acinar cells,1,1,1,1,1,1,1
CPI-CS05AB368CEAcinar cells,1,1,1,1,1,1,1
CPI-CS0715DE78DAcinar cells,1,1,1,1,1,1,1
CPI-SS0E0BCE16FAcinar cells,1,0,0,0,0,1,1
CPI-SS055E061C9Acinar cells,1,1,0,0,1,1,0
CPI-SS0A4EE6FE1Acinar cells,1,1,1,1,1,1,1
CPI-SS0EDAE16B6Acinar cells,1,1,1,1,0,1,1
CPI-CS0BE59B43EAcinar cells,1,1,1,1,1,1,1
CPI-SS02D7A1DDEAcinar cells,1,1,1,1,1,1,1
CPI-SS01946BE5CAcinar cells,1,1,1,1,1,1,1
CPI-SS03CC15FF3Acinar cells,1,1,1,0,1,1,1
CPI-SS0F00D756AAcinar cells,1,1,1,1,1,1,1
CPI-SS034D36D2FAcinar cells,1,0,0,1,1,0,1
CPI-SS0C23EF34BAcinar cells,1,0,1,0,1,1,0
CPI-CS058910188Acinar cells,1,1,1,1,1,1,1
CPI-CS0E4E75E3BAcinar cells,1,1,1,1,1,1,1
CPI-CS028ACED72Acinar cells,1,1,1,1,1,1,1
CPI-CS075442484Acinar cells,1,1,1,1,1,1,1
CPI-CS08A043594Acinar cells,1,1,1,1,1,1,1
CPI-SS0528A694BAcinar cells,1,1,1,0,1,1,1
CPI-CS0E5D1ECCEAcinar cells,1,0,0,1,1,1,1
CPI-CS07B61574BAcinar cells,1,1,1,1,1,1,1
CPI-SS0D2539AEBAcinar cells,1,1,1,1,1,1,1
CPI-CS0AB9C7139Acinar cells,1,1,1,1,1,1,1
CPI-SS0C1F25516Ductal cells,1,0,0,0,1,0,0
CPI-SS0AB0604B5Ductal cells,1,0,1,0,0,0,1
CPI-SS043E0F61DDuctal cells,1,0,0,0,0,0,0
CPI-SS02B567BC7Ductal cells,1,1,1,0,0,1,1
CPI-CS0C9EE65C2Ductal cells,1,0,0,1,0,0,0
CPI-CS0BCDC40FCDuctal cells,1,1,1,0,1,1,0
CPI-SS0B337B316Ductal cells,1,1,1,0,0,1,1
CPI-SS072E1E27ADuctal cells,1,1,1,0,0,0,0
CPI-SS01A07768ADuctal cells,1,1,0,0,1,0,0
CPI-SS064C772FEDuctal cells,1,1,1,0,1,1,1
CPI-CS0DEBE7B69Ductal cells,1,1,1,1,1,1,1
CPI-CS0E54FF657Ductal cells,1,1,1,1,1,1,1
CPI-CS02957B1BFDuctal cells,1,1,1,1,1,1,1
CPI-CS012D15A88Ductal cells,1,1,1,1,1,1,1
CPI-CS0107C51C6Ductal cells,1,1,1,1,1,1,1
CPI-CS0E997FABDDuctal cells,1,1,1,1,1,1,1
CPI-SS0AFC7BACFDuctal cells,1,0,0,0,0,1,0
CPI-SS00561BBD7Ductal cells,1,0,0,0,0,1,0
CPI-SS038E93B77Ductal cells,1,0,0,0,0,1,0
CPI-SS01158CABFDuctal cells,1,1,1,0,0,0,0
CPI-CS063AE1C91Ductal cells,1,0,0,0,0,1,0
CPI-SS091B461CBDuctal cells,1,1,1,1,1,1,1
CPI-SS03165AD8CDuctal cells,1,1,1,1,1,1,1
CPI-SS0F1A060D4Ductal cells,1,0,0,0,0,1,0
CPI-SS00046DCF3Ductal cells,1,1,1,0,1,1,1
CPI-SS0EB3C2743Ductal cells,1,1,1,0,1,1,1
CPI-SS0241A1F57Ductal cells,1,0,0,0,1,0,1
CPI-SS07833475ADuctal cells,1,0,0,0,0,1,1
CPI-SS074CF011CDuctal cells,1,0,1,0,1,0,0
CPI-SS08083B141Ductal cells,1,0,0,0,1,0,1
CPI-SS0111AAD26Ductal cells,1,1,1,1,1,1,1
CPI-CS05AB368CEDuctal cells,1,1,1,1,1,1,1
CPI-CS0715DE78DDuctal cells,1,1,1,1,1,1,1
CPI-SS0E0BCE16FDuctal cells,1,0,0,0,0,1,1
CPI-SS055E061C9Ductal cells,1,1,0,0,1,1,0
CPI-SS0A4EE6FE1Ductal cells,1,1,1,1,1,1,1
CPI-SS0EDAE16B6Ductal cells,1,1,1,1,0,1,1
CPI-CS0BE59B43EDuctal cells,1,1,1,1,1,1,1
CPI-SS0E91E504DDuctal cells,1,0,0,1,1,0,1
CPI-SS02D7A1DDEDuctal cells,1,1,1,1,1,1,1
CPI-SS01946BE5CDuctal cells,1,1,1,1,1,1,1
CPI-SS03CC15FF3Ductal cells,1,1,1,0,1,1,1
CPI-SS09808DEAEDuctal cells,1,0,1,1,1,1,1
CPI-SS034D36D2FDuctal cells,1,0,0,1,1,0,1
CPI-SS0C23EF34BDuctal cells,1,0,1,0,1,1,0
CPI-CS058910188Ductal cells,1,1,1,1,1,1,1
CPI-CS0AB19226ADuctal cells,1,0,1,1,1,1,1
CPI-CS0E4E75E3BDuctal cells,1,1,1,1,1,1,1
CPI-CS028ACED72Ductal cells,1,1,1,1,1,1,1
CPI-CS075442484Ductal cells,1,1,1,1,1,1,1
CPI-CS08A043594Ductal cells,1,1,1,1,1,1,1
CPI-SS0528A694BDuctal cells,1,1,1,0,1,1,1
CPI-CS06072FF4EDuctal cells,1,1,1,1,1,1,1
CPI-CS0E5D1ECCEDuctal cells,1,0,0,1,1,1,1
CPI-CS07B61574BDuctal cells,1,1,1,1,1,1,1
CPI-CS05426BFFADuctal cells,1,1,1,1,1,1,1
CPI-SS05B1FA8A8Ductal cells,1,1,1,1,0,1,1
CPI-SS0D2539AEBDuctal cells,1,1,1,1,1,1,1
CPI-CS0AB9C7139Ductal cells,1,0,1,1,1,1,1
CPI-SS0A1864A37PP cells,1,0,0,0,0,0,1
CPI-SS09D379E5BPP cells,1,1,1,0,1,1,1
CPI-SS0C1F25516PP cells,1,0,0,0,1,0,0
CPI-SS043E0F61DPP cells,1,0,0,0,0,0,0
CPI-SS0BF490275PP cells,1,0,0,0,0,1,1
CPI-SS072E1E27APP cells,1,0,0,0,0,0,0
CPI-SS01A07768APP cells,1,0,0,0,0,0,0
CPI-SS0AFC7BACFPP cells,1,0,0,0,0,1,0
CPI-SS00561BBD7PP cells,1,0,0,0,0,1,0
CPI-SS038E93B77PP cells,1,0,0,0,0,1,1
CPI-CS063AE1C91PP cells,1,0,0,0,0,1,0
CPI-SS0BEAB521FPP cells,1,1,1,0,0,0,1
CPI-CS077F1340APP cells,1,1,1,0,1,1,1
CPI-SS0947A8549PP cells,1,1,1,1,1,1,1
CPI-CS0860DA460PP cells,1,0,0,0,1,1,0
CPI-CS017A50010PP cells,1,0,0,0,1,1,0
CPI-SS0649EA05FPP cells,1,0,0,1,1,0,0
CPI-SS05FEE05CBPP cells,1,1,1,0,1,1,1
CPI-SS033E6DE7EPP cells,1,0,1,0,1,1,1
CPI-SS07833475APP cells,1,0,0,0,0,1,1
CPI-CS02AEFFE28PP cells,1,1,0,0,1,1,0
CPI-SS06BC4D123PP cells,1,0,0,1,1,0,0
CPI-CS076E1A639PP cells,1,1,0,0,1,1,0
CPI-SS0FA326344PP cells,1,1,1,1,1,1,1
CPI-CS0FCC00896PP cells,1,1,1,1,1,1,1
CPI-CS0CA393CC5PP cells,1,1,1,1,1,1,1
CPI-SS00D153A8APP cells,1,1,1,0,1,1,1
CPI-SS0E0BCE16FPP cells,1,0,0,0,0,1,1
CPI-CS0288D901DPP cells,1,1,0,0,1,1,0
CPI-CS0C99F8D96PP cells,1,1,0,0,1,1,0
CPI-CS0E1BF543EPP cells,1,1,1,1,1,1,1
CPI-CS0EC80CA59PP cells,1,1,1,1,1,1,1
CPI-CS046BCFC6FPP cells,1,1,1,1,1,1,1
CPI-CS047EE9E03PP cells,1,1,1,1,1,1,1
CPI-SS0273C9AEDPP cells,1,1,1,0,1,1,1
CPI-SS0E91E504DPP cells,1,0,0,1,1,0,1
CPI-CS02C93975CPP cells,1,1,1,1,1,1,1
CPI-CS01A4D7E2FPP cells,1,1,1,1,1,1,1
CPI-CS0BEC40E19PP cells,1,1,1,1,1,1,1
CPI-SS03CC15FF3PP cells,1,1,1,0,1,1,1
CPI-SS034D36D2FPP cells,1,0,0,1,1,0,1
CPI-SS0C23EF34BPP cells,1,0,1,0,1,1,0
CPI-CS0AB9C7139PP cells,1,0,1,1,1,1,1
CPI-CS073D36B1DStellate cells,1,1,1,0,1,1,1
CPI-SS0F15C1AB3Stellate cells,1,1,1,1,1,1,1
CPI-SS043E0F61DStellate cells,1,0,0,0,0,0,0
CPI-SS02B567BC7Stellate cells,1,0,1,0,0,1,0
CPI-CS0BCDC40FCStellate cells,1,1,1,0,1,1,0
CPI-SS0AB647854Stellate cells,1,1,1,0,1,0,0
CPI-SS00C069DCBStellate cells,1,0,1,0,0,1,0
CPI-SS0B337B316Stellate cells,1,1,1,0,1,1,1
CPI-CS0AA769F5BStellate cells,1,1,0,0,0,1,0
CPI-SS072E1E27AStellate cells,1,0,0,0,0,0,0
CPI-SS01A07768AStellate cells,1,1,1,0,1,0,0
CPI-CS0E54FF657Stellate cells,1,1,1,1,1,1,1
CPI-CS04DD927C9Stellate cells,1,1,1,1,1,1,1
CPI-CS02957B1BFStellate cells,1,1,1,1,1,1,1
CPI-CS0B79F5D68Stellate cells,1,1,1,1,1,1,1
CPI-CS012D15A88Stellate cells,1,1,1,1,1,1,1
CPI-CS0107C51C6Stellate cells,1,1,1,1,1,1,1
CPI-CS0E997FABDStellate cells,1,1,1,1,1,1,1
CPI-SS0AFC7BACFStellate cells,1,0,0,0,0,1,0
CPI-SS00561BBD7Stellate cells,1,0,0,0,0,1,0
CPI-SS07DFEBFA8Stellate cells,1,1,0,0,0,1,0
CPI-SS01158CABFStellate cells,1,1,1,0,0,0,0
CPI-CS063AE1C91Stellate cells,1,1,1,0,0,1,1
CPI-SS03165AD8CStellate cells,1,0,1,0,0,0,1
CPI-SS0F1A060D4Stellate cells,1,0,0,0,0,1,0
CPI-CS0860DA460Stellate cells,1,1,0,0,1,1,0
CPI-SS00046DCF3Stellate cells,1,1,1,0,1,1,1
CPI-CS017A50010Stellate cells,1,1,0,0,1,1,0
CPI-SS05FEE05CBStellate cells,1,1,1,0,0,1,1
CPI-SS0C5E9FBFBStellate cells,1,0,0,0,0,1,0
CPI-SS0241A1F57Stellate cells,1,1,1,1,1,1,1
CPI-SS07833475AStellate cells,1,0,0,0,0,1,1
CPI-SS074CF011CStellate cells,1,0,1,0,1,0,0
CPI-SS08083B141Stellate cells,1,0,0,0,1,0,1
CPI-CS02AEFFE28Stellate cells,1,1,1,1,1,1,1
CPI-SS06BC4D123Stellate cells,1,0,0,1,1,0,1
CPI-CS076E1A639Stellate cells,1,1,1,1,1,1,1
CPI-SS0111AAD26Stellate cells,1,1,1,0,1,1,1
CPI-CS0C59AF029Stellate cells,1,1,1,1,1,1,1
CPI-SS00D153A8AStellate cells,1,1,1,0,1,1,1
CPI-SS082900482Stellate cells,1,1,1,1,1,1,1
CPI-SS0E0BCE16FStellate cells,1,0,0,0,0,1,1
CPI-CS0288D901DStellate cells,1,1,1,0,1,1,0
CPI-CS0C99F8D96Stellate cells,1,1,1,0,1,1,0
CPI-SS055E061C9Stellate cells,1,1,0,0,1,1,0
CPI-SS042EB8C7AStellate cells,1,0,0,0,0,0,1
CPI-SS0273C9AEDStellate cells,1,1,1,0,1,1,1
CPI-SC095A2C115Stellate cells,1,1,1,1,1,1,1
CPI-CS0D35E69F6Stellate cells,1,1,1,0,1,1,1
CPI-CS05EAF93CCStellate cells,1,1,1,0,1,1,1
CPI-SS0EDAE16B6Stellate cells,1,1,1,0,0,1,1
CPI-SS0302E8E8FStellate cells,1,0,1,1,1,0,1
CPI-CS0BE59B43EStellate cells,1,1,1,1,1,1,0
CPI-CS0924060DBStellate cells,1,1,1,1,1,1,1
CPI-SS0E91E504DStellate cells,1,0,0,1,1,0,1
CPI-CS0DF85303AStellate cells,1,0,1,1,1,1,1
CPI-SS02D7A1DDEStellate cells,1,1,1,1,1,1,1
CPI-CS0F6CFB979Stellate cells,1,1,1,1,1,1,1
CPI-CS08109C435Stellate cells,1,0,1,1,1,1,1
CPI-CS0EF793D6AStellate cells,1,1,1,1,1,1,1
CPI-CS08A853007Stellate cells,1,0,1,1,1,1,1
CPI-CS0D238C22BStellate cells,1,1,0,0,0,1,1
CPI-CS0921BB754Stellate cells,1,1,1,1,1,1,1
CPI-CS0C0D60519Stellate cells,1,1,1,1,1,1,1
CPI-CS0247DA882Stellate cells,1,1,1,1,1,1,1
CPI-SS01946BE5CStellate cells,1,1,1,1,1,1,1
CPI-SS079728E8BStellate cells,1,1,1,1,1,1,1
CPI-SS03CC15FF3Stellate cells,1,1,1,0,1,1,1
CPI-CS091BF99D0Stellate cells,1,1,1,1,1,1,1
CPI-SS0F00D756AStellate cells,1,0,1,0,1,0,1
CPI-SS09808DEAEStellate cells,1,0,1,1,1,0,1
CPI-SS082AD7B6AStellate cells,1,1,1,1,1,1,1
CPI-SS034D36D2FStellate cells,1,0,0,1,1,0,1
CPI-SS0C23EF34BStellate cells,1,1,1,0,1,1,0
CPI-CS058910188Stellate cells,1,1,1,1,1,1,1
CPI-CS0AB19226AStellate cells,1,1,1,1,1,1,1
CPI-CS0E4E75E3BStellate cells,1,1,1,1,1,1,1
CPI-CS028ACED72Stellate cells,1,1,1,1,1,1,1
CPI-CS075442484Stellate cells,1,1,1,1,1,1,1
CPI-CS08A043594Stellate cells,1,1,1,1,1,1,1
CPI-SS0528A694BStellate cells,1,1,1,0,1,1,1
CPI-SS099C401F7Stellate cells,1,1,1,1,1,0,1
CPI-CS0E5D1ECCEStellate cells,1,0,0,1,1,1,1
CPI-CS07B61574BStellate cells,1,1,1,1,1,1,1
CPI-SS05B1FA8A8Stellate cells,1,1,1,1,1,1,1
CPI-SS0D2539AEBStellate cells,1,1,1,1,1,1,1
CPI-CS0FFBA02F8Stellate cells,1,1,1,1,1,1,1
CPI-CS0C16967C6Stellate cells,1,1,1,1,1,1,1
CPI-CS0AB9C7139Stellate cells,1,1,1,1,1,1,1
CPI-SS06B94F144$\alpha{-}cells$,0,1,1,0,1,0,1
CPI-SS07DFEBFA8$\alpha{-}cells$,0,1,0,0,0,1,0
CPI-SS07D40A3F3$\alpha{-}cells$,0,1,1,0,1,1,1
CPI-SS0FA326344$\alpha{-}cells$,0,1,1,1,1,1,1
CPI-SS09EF54490$\alpha{-}cells$,0,1,1,0,0,1,0
CPI-SS070B0E458$\alpha{-}cells$,0,1,0,1,1,0,0
CPI-CS0D238C22B$\alpha{-}cells$,0,1,0,0,0,1,1
CPI-SS01946BE5C$\alpha{-}cells$,0,1,1,1,1,0,1
CPI-CS0533A30DC$\alpha{-}cells$,0,1,1,1,1,1,1
CPI-SS03133B4F2$\alpha{-}cells$,0,1,0,1,1,0,1
CPI-SS082AD7B6A$\alpha{-}cells$,0,1,1,1,1,0,0
