,$\alpha{-}cells$,$\beta{-}cells$,$\delta{-}cells$,Acinar cells,Ductal cells,PP cells,Stellate cells
CPI-CS0E997FABD$\alpha{-}cells$,0,0,0,0,1,0,1
CPI-CS06072FF4E$\alpha{-}cells$,0,0,0,0,1,0,0
CPI-SS09D379E5B$\alpha{-}cells$,0,0,0,0,0,1,0
CPI-SS05FEE05CB$\alpha{-}cells$,0,0,0,0,0,1,1
CPI-CS073D36B1D$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS0F15C1AB3$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-CS0C59AF029$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SC095A2C115$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-CS0D35E69F6$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-CS05EAF93CC$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS0302E8E8F$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-CS0DF85303A$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-CS0F6CFB979$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-CS08109C435$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-CS0EF793D6A$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-CS08A853007$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-CS0921BB754$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-CS0C0D60519$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-CS0247DA882$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS082AD7B6A$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS099C401F7$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-CS0FFBA02F8$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-CS0C16967C6$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS0A1864A37$\beta{-}cells$,1,0,0,0,0,0,0
CPI-SS00EC753E6$\beta{-}cells$,1,0,0,0,0,0,0
CPI-SS06B94F144$\beta{-}cells$,1,0,0,0,0,1,0
CPI-SS0C4E86714$\beta{-}cells$,1,0,0,0,0,0,0
CPI-CS04DD927C9$\beta{-}cells$,1,0,0,0,0,0,1
CPI-CS0B79F5D68$\beta{-}cells$,1,0,0,0,0,0,1
CPI-SS07DFEBFA8$\beta{-}cells$,1,1,1,0,1,1,1
CPI-SS07D40A3F3$\beta{-}cells$,1,1,0,0,0,0,0
CPI-SS0FA326344$\beta{-}cells$,1,1,0,0,0,1,0
CPI-CS05AB368CE$\beta{-}cells$,1,0,0,1,1,0,0
CPI-CS0715DE78D$\beta{-}cells$,1,0,0,1,1,0,0
CPI-SS0DA033F03$\beta{-}cells$,1,0,0,0,0,0,0
CPI-SS09EF54490$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS070B0E458$\beta{-}cells$,1,1,1,0,1,1,1
CPI-SS042EB8C7A$\beta{-}cells$,1,1,0,0,0,0,0
CPI-SS0273C9AED$\beta{-}cells$,1,0,0,0,0,1,1
CPI-SS0A4EE6FE1$\beta{-}cells$,1,0,0,1,1,0,0
CPI-CS0924060DB$\beta{-}cells$,1,0,0,0,1,1,1
CPI-CS0D238C22B$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS01946BE5C$\beta{-}cells$,1,0,0,1,1,0,1
CPI-CS0533A30DC$\beta{-}cells$,1,0,0,0,1,1,1
CPI-CS091BF99D0$\beta{-}cells$,1,0,0,0,0,0,1
CPI-SS03133B4F2$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS082AD7B6A$\beta{-}cells$,1,0,1,1,0,1,1
CPI-SS033CB0BB2$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS099C401F7$\beta{-}cells$,1,1,1,0,1,1,1
CPI-CS04F78ACD6$\beta{-}cells$,1,1,1,0,1,1,1
CPI-SS05B1FA8A8$\beta{-}cells$,1,0,1,0,1,0,1
CPI-CS0FFBA02F8$\beta{-}cells$,1,1,0,1,0,1,1
CPI-CS0C16967C6$\beta{-}cells$,1,1,0,1,0,1,1
CPI-CS046B3C139$\beta{-}cells$,1,1,1,1,1,1,1
CPI-CS08CC8F9D3$\beta{-}cells$,1,1,1,1,1,1,1
CPI-CS0CE2A204A$\beta{-}cells$,1,1,1,1,1,1,1
CPI-CS0AEE2FB22$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS0AB647854$\beta{-}cells$,0,1,1,0,0,0,1
CPI-CS067298D94$\beta{-}cells$,0,1,0,0,0,0,0
CPI-CS0AA769F5B$\beta{-}cells$,0,1,1,0,0,0,1
CPI-SS0E00478B4$\beta{-}cells$,0,1,0,0,0,0,0
CPI-SS064C772FE$\beta{-}cells$,0,1,0,1,1,0,0
CPI-SS01158CABF$\beta{-}cells$,0,1,1,1,1,0,1
CPI-SS0907A7598$\beta{-}cells$,0,1,0,0,0,1,0
CPI-SS0BEAB521F$\beta{-}cells$,0,1,1,0,0,1,0
CPI-SS0586F2596$\beta{-}cells$,0,1,1,0,0,1,0
CPI-CS077F1340A$\beta{-}cells$,0,1,0,0,0,1,0
CPI-SS0947A8549$\beta{-}cells$,0,1,0,0,0,1,0
CPI-SS0DE0A486F$\beta{-}cells$,0,1,0,0,0,0,0
CPI-SS0F1A060D4$\beta{-}cells$,0,1,1,0,0,0,0
CPI-SS0649EA05F$\beta{-}cells$,0,1,0,0,0,0,0
CPI-SS03A2EFDD5$\beta{-}cells$,0,1,1,0,0,1,0
CPI-SS0C5E9FBFB$\beta{-}cells$,0,1,1,1,0,0,0
CPI-CS0FCC00896$\beta{-}cells$,0,1,1,0,0,1,0
CPI-CS0CA393CC5$\beta{-}cells$,0,1,1,0,0,1,0
CPI-SS082900482$\beta{-}cells$,0,1,1,0,0,0,1
CPI-CS0E1BF543E$\beta{-}cells$,0,1,1,0,0,1,0
CPI-SS055E061C9$\beta{-}cells$,0,1,1,1,1,0,1
CPI-CS0EC80CA59$\beta{-}cells$,0,1,1,0,0,1,0
CPI-CS046BCFC6F$\beta{-}cells$,0,1,1,0,0,1,0
CPI-CS047EE9E03$\beta{-}cells$,0,1,1,0,0,1,0
CPI-CS02C93975C$\beta{-}cells$,0,1,1,0,0,1,0
CPI-CS01A4D7E2F$\beta{-}cells$,0,1,1,0,0,1,0
CPI-CS0BEC40E19$\beta{-}cells$,0,1,1,0,0,1,0
CPI-SS02FBD007E$\beta{-}cells$,0,1,1,0,0,0,0
CPI-SS079728E8B$\beta{-}cells$,0,1,1,0,0,0,1
CPI-CS0AB19226A$\beta{-}cells$,0,1,1,0,0,0,1
CPI-SS0528A694B$\beta{-}cells$,0,1,1,1,1,0,1
CPI-SS070C51D94$\beta{-}cells$,0,1,1,0,0,1,0
CPI-SS0D2539AEB$\beta{-}cells$,0,1,1,1,1,0,1
CPI-SS00C069DCB$\beta{-}cells$,0,0,1,0,0,0,0
CPI-SS072E1E27A$\beta{-}cells$,0,0,1,1,1,0,0
CPI-SS00D153A8A$\beta{-}cells$,0,0,1,0,0,1,1
CPI-CS0288D901D$\beta{-}cells$,0,0,1,0,0,1,1
CPI-CS0C99F8D96$\beta{-}cells$,0,0,1,0,0,1,1
CPI-CS05426BFFA$\beta{-}cells$,0,0,1,0,1,0,0
CPI-CS0AB9C7139$\beta{-}cells$,0,0,1,1,0,0,1
CPI-SS0AB0604B5$\beta{-}cells$,0,0,0,1,0,0,0
CPI-SS01A8F745A$\beta{-}cells$,0,0,0,1,1,0,0
CPI-CS0C9EE65C2$\beta{-}cells$,0,0,0,1,0,0,0
CPI-CS0DEBE7B69$\beta{-}cells$,0,0,0,1,1,0,0
CPI-SS091B461CB$\beta{-}cells$,0,0,0,1,1,0,0
CPI-SS03165AD8C$\beta{-}cells$,0,0,0,1,1,0,0
CPI-SS00046DCF3$\beta{-}cells$,0,0,0,1,1,0,1
CPI-SS0EB3C2743$\beta{-}cells$,0,0,0,1,1,0,0
CPI-SS074CF011C$\beta{-}cells$,0,0,0,1,0,0,0
CPI-SS0111AAD26$\beta{-}cells$,0,0,0,1,1,0,1
CPI-SS0EDAE16B6$\beta{-}cells$,0,0,0,1,1,0,1
CPI-CS0BE59B43E$\beta{-}cells$,0,0,0,1,1,0,1
CPI-SS02D7A1DDE$\beta{-}cells$,0,0,0,1,1,0,1
CPI-SS03CC15FF3$\beta{-}cells$,0,0,0,1,1,1,1
CPI-SS0F00D756A$\beta{-}cells$,0,0,0,1,0,0,0
CPI-CS058910188$\beta{-}cells$,0,0,0,1,1,0,1
CPI-CS0E4E75E3B$\beta{-}cells$,0,0,0,1,1,0,1
CPI-CS028ACED72$\beta{-}cells$,0,0,0,1,1,0,1
CPI-CS075442484$\beta{-}cells$,0,0,0,1,1,0,1
CPI-CS08A043594$\beta{-}cells$,0,0,0,1,1,0,1
CPI-CS07B61574B$\beta{-}cells$,0,0,0,1,1,0,1
CPI-SS02B567BC7$\beta{-}cells$,0,0,0,0,1,0,0
CPI-CS0BCDC40FC$\beta{-}cells$,0,0,0,0,1,0,1
CPI-SS0B337B316$\beta{-}cells$,0,0,0,0,1,0,1
CPI-SS01A07768A$\beta{-}cells$,0,0,0,0,1,0,1
CPI-CS0E54FF657$\beta{-}cells$,0,0,0,0,1,0,1
CPI-CS02957B1BF$\beta{-}cells$,0,0,0,0,1,0,1
CPI-CS012D15A88$\beta{-}cells$,0,0,0,0,1,0,1
CPI-CS0107C51C6$\beta{-}cells$,0,0,0,0,1,0,1
CPI-CS0E997FABD$\beta{-}cells$,0,0,0,0,1,0,1
CPI-CS06072FF4E$\beta{-}cells$,0,0,0,0,1,0,0
CPI-SS09D379E5B$\beta{-}cells$,0,0,0,0,0,1,0
CPI-SS05FEE05CB$\beta{-}cells$,0,0,0,0,0,1,1
CPI-CS02AEFFE28$\beta{-}cells$,0,0,0,0,0,1,1
CPI-CS076E1A639$\beta{-}cells$,0,0,0,0,0,1,1
CPI-CS073D36B1D$\beta{-}cells$,0,0,0,0,0,0,1
CPI-SS0F15C1AB3$\beta{-}cells$,0,0,0,0,0,0,1
CPI-CS063AE1C91$\beta{-}cells$,0,0,0,0,0,0,1
CPI-CS0860DA460$\beta{-}cells$,0,0,0,0,0,0,1
CPI-CS017A50010$\beta{-}cells$,0,0,0,0,0,0,1
CPI-SS0241A1F57$\beta{-}cells$,0,0,0,0,0,0,1
CPI-CS0C59AF029$\beta{-}cells$,0,0,0,0,0,0,1
CPI-SC095A2C115$\beta{-}cells$,0,0,0,0,0,0,1
CPI-CS0D35E69F6$\beta{-}cells$,0,0,0,0,0,0,1
CPI-CS05EAF93CC$\beta{-}cells$,0,0,0,0,0,0,1
CPI-CS0F6CFB979$\beta{-}cells$,0,0,0,0,0,0,1
CPI-CS0EF793D6A$\beta{-}cells$,0,0,0,0,0,0,1
CPI-CS0921BB754$\beta{-}cells$,0,0,0,0,0,0,1
CPI-CS0C0D60519$\beta{-}cells$,0,0,0,0,0,0,1
CPI-CS0247DA882$\beta{-}cells$,0,0,0,0,0,0,1
CPI-SS0C23EF34B$\beta{-}cells$,0,0,0,0,0,0,1
CPI-SS0F102AAC5$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS00EC753E6$\delta{-}cells$,1,0,0,0,0,0,0
CPI-SS06B94F144$\delta{-}cells$,1,0,0,0,0,1,0
CPI-SS00C069DCB$\delta{-}cells$,1,1,1,1,0,1,1
CPI-SS0C4E86714$\delta{-}cells$,1,1,0,0,0,0,1
CPI-CS0DDFD82E7$\delta{-}cells$,1,1,0,0,1,1,1
CPI-CS04DD927C9$\delta{-}cells$,1,0,0,0,0,0,1
CPI-CS0B79F5D68$\delta{-}cells$,1,0,0,0,0,0,1
CPI-SS07D40A3F3$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS08CA619FE$\delta{-}cells$,1,0,0,0,0,0,0
CPI-SS0EB3C2743$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS074CF011C$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0FA326344$\delta{-}cells$,1,1,0,0,0,1,0
CPI-CS0C59AF029$\delta{-}cells$,1,1,1,1,1,1,1
CPI-CS05AB368CE$\delta{-}cells$,1,0,0,1,1,0,0
CPI-CS0715DE78D$\delta{-}cells$,1,0,0,1,1,0,0
CPI-SS0ABC5C1B8$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0DA033F03$\delta{-}cells$,1,0,0,0,0,0,0
CPI-SS07F60834D$\delta{-}cells$,1,0,1,1,1,1,1
CPI-SS09EF54490$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS042EB8C7A$\delta{-}cells$,1,1,1,0,0,0,0
CPI-SS0273C9AED$\delta{-}cells$,1,0,0,0,0,1,1
CPI-SS0A4EE6FE1$\delta{-}cells$,1,1,1,1,1,0,0
CPI-SS0302E8E8F$\delta{-}cells$,1,0,0,1,1,1,1
CPI-CS0924060DB$\delta{-}cells$,1,0,0,0,0,1,1
CPI-SS02D7A1DDE$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS088A0A760$\delta{-}cells$,1,0,0,0,1,1,1
CPI-SS01946BE5C$\delta{-}cells$,1,0,0,1,1,0,1
CPI-CS0533A30DC$\delta{-}cells$,1,1,1,1,1,1,1
CPI-CS091BF99D0$\delta{-}cells$,1,0,0,1,1,1,1
CPI-SS0F00D756A$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0C0A61F92$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS09808DEAE$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS082AD7B6A$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS033CB0BB2$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0C23EF34B$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS099C401F7$\delta{-}cells$,1,1,1,0,1,1,1
CPI-SS070C51D94$\delta{-}cells$,1,1,1,0,1,1,1
CPI-CS04F78ACD6$\delta{-}cells$,1,1,1,0,1,1,1
CPI-SS05B1FA8A8$\delta{-}cells$,1,0,1,1,1,0,1
CPI-CS0FFBA02F8$\delta{-}cells$,1,1,1,1,1,1,1
CPI-CS0C16967C6$\delta{-}cells$,1,1,1,1,1,1,1
CPI-CS0AB9C7139$\delta{-}cells$,1,0,1,1,1,1,1
CPI-CS046B3C139$\delta{-}cells$,1,1,1,1,1,1,1
CPI-CS08CC8F9D3$\delta{-}cells$,1,1,1,1,1,1,1
CPI-CS0CE2A204A$\delta{-}cells$,1,1,1,1,1,1,1
CPI-CS0AEE2FB22$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0AB647854$\delta{-}cells$,0,1,0,0,0,0,1
CPI-CS067298D94$\delta{-}cells$,0,1,0,0,0,0,0
CPI-SS0E00478B4$\delta{-}cells$,0,1,0,0,0,0,0
CPI-SS01158CABF$\delta{-}cells$,0,1,1,1,1,0,1
CPI-SS0907A7598$\delta{-}cells$,0,1,0,0,0,1,0
CPI-SS0BEAB521F$\delta{-}cells$,0,1,1,0,0,1,0
CPI-SS0586F2596$\delta{-}cells$,0,1,1,0,0,0,0
CPI-CS077F1340A$\delta{-}cells$,0,1,0,0,0,1,0
CPI-SS091B461CB$\delta{-}cells$,0,1,0,1,1,0,0
CPI-SS0947A8549$\delta{-}cells$,0,1,0,0,0,1,0
CPI-SS0DE0A486F$\delta{-}cells$,0,1,0,0,0,0,0
CPI-SS0F1A060D4$\delta{-}cells$,0,1,1,0,0,0,0
CPI-SS03A2EFDD5$\delta{-}cells$,0,1,1,0,0,1,0
CPI-SS0C5E9FBFB$\delta{-}cells$,0,1,1,0,0,0,0
CPI-CS0FCC00896$\delta{-}cells$,0,1,1,0,0,1,0
CPI-CS0CA393CC5$\delta{-}cells$,0,1,1,0,0,1,0
CPI-SS082900482$\delta{-}cells$,0,1,1,0,0,0,1
CPI-CS0E1BF543E$\delta{-}cells$,0,1,1,0,0,1,0
CPI-CS0EC80CA59$\delta{-}cells$,0,1,1,0,0,1,0
CPI-CS046BCFC6F$\delta{-}cells$,0,1,1,0,0,1,0
CPI-CS047EE9E03$\delta{-}cells$,0,1,1,0,0,1,0
CPI-CS02C93975C$\delta{-}cells$,0,1,1,0,0,1,0
CPI-CS01A4D7E2F$\delta{-}cells$,0,1,1,0,0,1,0
CPI-CS0BEC40E19$\delta{-}cells$,0,1,1,0,0,1,0
CPI-SS02FBD007E$\delta{-}cells$,0,1,1,0,0,0,0
CPI-CS0AB19226A$\delta{-}cells$,0,1,1,0,1,0,1
CPI-SS0528A694B$\delta{-}cells$,0,1,1,1,1,0,1
CPI-SS0D2539AEB$\delta{-}cells$,0,1,1,1,1,0,1
CPI-SS072E1E27A$\delta{-}cells$,0,0,1,1,1,0,0
CPI-SS08083B141$\delta{-}cells$,0,0,1,0,0,0,0
CPI-SS00D153A8A$\delta{-}cells$,0,0,1,0,0,1,1
CPI-SS070B0E458$\delta{-}cells$,0,0,1,0,0,0,0
CPI-CS0D238C22B$\delta{-}cells$,0,0,1,0,0,0,0
CPI-SS079728E8B$\delta{-}cells$,0,0,1,0,0,0,1
CPI-CS05426BFFA$\delta{-}cells$,0,0,1,0,1,1,1
CPI-SS0AB0604B5$\delta{-}cells$,0,0,0,1,1,0,0
CPI-SS01A8F745A$\delta{-}cells$,0,0,0,1,1,0,0
CPI-CS0C9EE65C2$\delta{-}cells$,0,0,0,1,0,0,0
CPI-SS0E25CE362$\delta{-}cells$,0,0,0,1,1,0,0
CPI-SS064C772FE$\delta{-}cells$,0,0,0,1,1,0,0
CPI-CS0DEBE7B69$\delta{-}cells$,0,0,0,1,1,0,0
CPI-SS03165AD8C$\delta{-}cells$,0,0,0,1,1,0,1
CPI-SS00046DCF3$\delta{-}cells$,0,0,0,1,1,0,1
CPI-SS0111AAD26$\delta{-}cells$,0,0,0,1,1,0,1
CPI-SS0EDAE16B6$\delta{-}cells$,0,0,0,1,1,0,1
CPI-CS0BE59B43E$\delta{-}cells$,0,0,0,1,1,0,1
CPI-SS03CC15FF3$\delta{-}cells$,0,0,0,1,1,1,1
CPI-CS058910188$\delta{-}cells$,0,0,0,1,1,0,1
CPI-CS0E4E75E3B$\delta{-}cells$,0,0,0,1,1,0,1
CPI-CS028ACED72$\delta{-}cells$,0,0,0,1,1,0,1
CPI-CS075442484$\delta{-}cells$,0,0,0,1,1,0,1
CPI-CS08A043594$\delta{-}cells$,0,0,0,1,1,0,1
CPI-CS07B61574B$\delta{-}cells$,0,0,0,1,1,0,1
CPI-SS02B567BC7$\delta{-}cells$,0,0,0,0,1,0,1
CPI-CS0BCDC40FC$\delta{-}cells$,0,0,0,0,1,0,1
CPI-SS0B337B316$\delta{-}cells$,0,0,0,0,1,0,1
CPI-CS0E54FF657$\delta{-}cells$,0,0,0,0,1,0,1
CPI-CS02957B1BF$\delta{-}cells$,0,0,0,0,1,0,1
CPI-CS012D15A88$\delta{-}cells$,0,0,0,0,1,0,1
CPI-CS0107C51C6$\delta{-}cells$,0,0,0,0,1,0,1
CPI-CS0E997FABD$\delta{-}cells$,0,0,0,0,1,0,1
CPI-CS06072FF4E$\delta{-}cells$,0,0,0,0,1,0,0
CPI-SS09D379E5B$\delta{-}cells$,0,0,0,0,0,1,0
